Category,Title,Price,Link
Televisions,"AMKETTE EvoFox 32GB SSD Gaming Console With Asphalt 8, Badland, Beach Buggy Racing, Bomb Hunters, BombSquad, Brick Breaker Pro, Commute, CrossyRoad (Grey)","₹9,999",https://www.croma.com/amkette-evofox-32gb-ssd-gaming-console-with-asphalt-8-badland-beach-buggy-racing-bomb-hunters-bombsquad-brick-breaker-pro-commute-crossyroad-grey-/p/234876
Televisions,SONY PlayStation 5 1TB SSD Slim Gaming Console with NBA 2K26 (White),"₹54,990",https://www.croma.com/sony-playstation-5-1tb-ssd-slim-gaming-console-with-nba-2k26-white-/p/318700
Televisions,SONY PlayStation 5 1TB SSD Standard Gaming Console with EA SPORTS FC26 Bundle (White),"₹54,990",https://www.croma.com/sony-playstation-5-1tb-ssd-standard-gaming-console-with-ea-sports-fc26-bundle-white-/p/319455
Televisions,SONY PlayStation 5 1TB SSD Digital Gaming Console with EA SPORTS FC26 Bundle (White),"₹49,990",https://www.croma.com/sony-playstation-5-1tb-ssd-digital-gaming-console-with-ea-sports-fc26-bundle-white-/p/319456
Refrigerators,"Croma Bracket For Air Conditioner (Powder Coating Process, Grey)",₹799,https://www.croma.com/croma-bracket-for-air-conditioner-powder-coating-process-grey-/p/268398
Refrigerators,"Oakter OakRemote Universal Remote (360 Degree IP Coverage, White)",₹574,https://www.croma.com/oakter-oakremote-universal-remote-360-degree-ip-coverage-white-/p/210990
Refrigerators,"CNS Trolley for Washing Machines, Refrigerators, and Dishwashers (24 Wheels, Upto 350 L, Black)","₹1,100",https://www.croma.com/cns-trolley-for-washing-machines-refrigerators-and-dishwashers-24-wheels-upto-350-l-black-/p/224669
Refrigerators,"SafeStab 11 Amps Voltage Stabilizer For 1.5T Air Conditioner (150 - 270 V, Digital Display, VST400D, White)","₹2,399",https://www.croma.com/safestab-11-amps-voltage-stabilizer-for-1-5t-air-conditioner-150-270-v-digital-display-vst400d-white-/p/217687
Refrigerators,"BAJAJ Majesty DX 6 1000 Watts Dry Iron (German Coating Technology, White)",₹599,https://www.croma.com/bajaj-majesty-dx-6-1000-watts-dry-iron-german-coating-technology-white-/p/219044
Refrigerators,"Croma 8 kg 5 Star Semi Automatic Washing Machine with Magic Filter (CRLW080SMF248602, Black)","₹9,490",https://www.croma.com/croma-8-kg-5-star-semi-automatic-washing-machine-with-magic-filter-crlw080smf248602-black-/p/300475
Refrigerators,"Croma 7 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Temperature Sensor (2025 Model, Copper Condenser, CRLA018IND283265)","₹28,990",https://www.croma.com/croma-7-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-temperature-sensor-2025-model-copper-condenser-crla018ind283265-/p/311927
Refrigerators,"Croma 7 in 1 Convertible 1 Ton 3 Star Inverter Split AC with Temperature Sensor (2025 Model, Copper Condenser, CRLA012IND283264)","₹26,990",https://www.croma.com/croma-7-in-1-convertible-1-ton-3-star-inverter-split-ac-with-temperature-sensor-2025-model-copper-condenser-crla012ind283264-/p/311918
